Time		Annotation	Layer
59:37	59:40	Body eats bouquets of the ear's vista.	McClure reading
59:41	59:48	Gahhhrrr booody eyes eers noze deem thou.	McClure reading
59:49	59:51	NOH. NAH-OHH	McClure reading
59:51	59:56	hrooor. VOOOR-NAH! GAHROOOOO ME.	McClure reading
59:57	59:60	Nah droooooh seerch. NAH THEE!	McClure reading
59:60	1:00:06	The machines are too dull when we are lion poems that move & breathe.	McClure reading
1:00:06	1:00:12	WHAN WE GROOOOOOOOOOOOOOR hann dree	McClure reading
1:00:12	1:00:17	myketoth sharoo sreee thah noh deeeeeemed ez.	McClure reading
1:00:17	1:00:19	Whan. eeeethoooze hrohh.	McClure reading
1:00:22	1:00:30	Applause	Situated voice
1:00:29		To listen for the social voice is to apprehend the lived histories telescoped in a performer’s embodied vocal expression. McClure’s speech is the liquid instrument of an avid performer, one that betrays no especially particular regional distinctiveness save perhaps slightly nasal, slight ironic casualness of his generational milieu. As McClure moves in and out of beast language, letting the phonemic order of English dissolve into long vowels wrapped in deliciously indulged alveolar approximates and glottal fricatives, he means for us to hear the body, as it were. More particularly, though, we hear the 43-year-old male-gendered body that spent its childhood between Kansas and the Pacific Northwest and its adulthood in countercultural California.	Social voice
1:00:30	1:00:36	I was always afraid to recite this other one. Although I knew it by heart, I was afraid to recite it because I thought I might not be able to stop.	McClure speaking
1:00:38	1:00:47	It's very mantric. And I thought I'd be giving a reading and they'll carry me away at the end. I'll still be going Grahhr! Grahhr! So,	McClure speaking
1:00:48	1:01:01	recently I was in one of John Lilly's isolation tanks and I thought, what a perfect time to do this thing I've always been afraid to do. [Audience laughs] What difference would it make here? So I did, and I did know it by heart, but I think I'll read it here anyway.	McClure speaking
1:01:03	1:01:08	SILENCE THE EYES! BECALM THE SENSES!	McClure reading
1:01:09	1:01:14	Drive drooor from the fresh repugnance,	McClure reading
1:01:14	1:01:17	thou whole, thou feeling creature.	McClure reading
1:01:18	1:01:21	Live not for others but affect thyself	McClure reading
1:01:22	1:01:26	from thy enhanced interior--believing what thou carry.	McClure reading
1:01:26	1:01:32	Thy trillionic multitude of grahh, vhooshes, and silences.	McClure reading
1:01:32	1:01:36	Oh you are heavier and dimmer than you knew	McClure reading
1:01:36	1:01:38	and more solid and full of pleasure.	McClure reading
1:01:38	1:01:47	Grahhr! Grahhhr! Ghrahhhrrr! Ghrahhr! Grahhrrr.	McClure reading
1:01:47	1:01:54	Grahhrr-grahhhrr! Grahhr. Gahrahhrr Ghrahhhrrrr.	McClure reading
1:01:55	1:02:03	Ghrarrrr. Ghrahhr! Ghrarrrrr. Gharrrr. Grahhrr.	McClure reading
1:02:03	1:02:10	Ghrahhrr. Ghrahr. Grahhr. Grahharrr. Grahhrr.	McClure reading
1:02:10	1:02:21	Grahhhhr. Grahhhr. Gahar. Ghrahhr. Grahhr. Grahhr.	McClure reading
1:02:21	1:02:30	Ghrahhr. Grahhhr. Grahhr. Gratharrr! Grahhr.	McClure reading
1:02:30	1:02:39	Ghrahrr. Ghraaaaaaahrr. Grhar. Ghhrarrr! Grahhrr.	McClure reading
1:02:39	1:02:47	Ghrahrr. Gharr! Ghrahhhhr. Grahhrr. Ghraherrr.	McClure reading
1:02:48	1:02:60	Applause	Situated voice
