Time		Annotation	Layer
30:52	33:32	People were saying one thing, and then the other, about why don't we do this, why don't they do that--part of the story is that maybe nothing will fall because the Russians also wish to make underground tests. It's part of the ways in which we are bound to each other. I'll give you that. In Mexico, we are bound under the ground, over the ground, in every way there is. In Mexico, though the stories of what really happened to the students in October, and the stories of people-- of many students --were killed and the police were among the crowd, and the police wore one white glove or tied a handkerchief around their right hand, and when the helicopters came over, these white hands were put up that said "don't shoot us, we're police.” Many students were shot, and they say in Mexico City that the bodies were incinerated, and no reports were made and no count was made. And these are the ways in which we are bound, too. And yes, I have been translating Octavio Paz, and Eikelof is another such poet, but Paz--the end of one of Octavio's poems--was printed on this issue of the University Student's Journal of the University of Mexico, with the account of September, October, November, December. And the poem ends like this in English. It's not as good, I warn you, these translations are a folly on a madness on a stupidity and at the same time one has to do it. As work to which one is driven, out of love and gratitude, and also out a motive not so noble as any of that. During the times in which one cannot write poems, it is wonderful to have something one cares about out in front of one, and work with it that way. And it's the thing, not spinning out of oneself in those times, but having something out in front. This is the end of the- of a great poem of Octavio Paz's called "A Broken Jar.” And jar, of course--water jar--is something quite different in Mexico. We say 'jar.’ 'jug.’ something like that. It isn't in the thing we use every day, in Mexico, it's every day; it's that kind of broken jar.	Rukeyser speaking
33:36	34:29	Reads "A Broken Jar" (by Octavio Paz)	Rukeyser reading
34:37		These are some poems, since my last book, and I don't know whether they are finished. They may be finished. The next book that these will be in will be called Breaking Open. This is a short one called "Martin Luther King."	Rukeyser speaking
35:01	35:44	Reads "Martin Luther King"	Rukeyser reading
35:47	37:26	This is a poem I found a long time ago-- you probably have found it in the same way. It's on the back of a one of the Goga water colours. It's a piece of poem without any heading, without any signature. I didn't know what it was, and it stopped me, and it stayed in me, and I tried to turn it into English, and I couldn't do it. And I finally found out what it was and I finally turned it into English. It's a poem by Charles Maurice, who is hardly read--you know him? No. He's one of those people around Gauguin, and I said well, 'you can't print anything like that, people,' and then "2001" was written and released, and "2001" has stargate, starbaby, the whole thing, and I put the name "Next" on this and I'm reading it to you partly for itself, but partly because one line of it is something I used in a poem I wrote when the same thing happened to many of us. The Olympics committee wrote to us and asked for poems, you know, for the games, or for the times of the games, or for something. And one wasn't exactly going to do that, but there was something that could be said, and so on. Anyway, this is the Maurice, and I've called it "Next".	Rukeyser speaking
37:30	38:22	Reads "Next"	Rukeyser reading
38:21		And this poem, using one line of that was what I said to Mexico. It's called "Voices."	Rukeyser speaking
38:35	39:60	Reads "Voices"	Rukeyser reading
40:01		The last poem I'll read this evening is a group. The group is called "The Speed of Darkness."	Rukeyser speaking
40:12		They're short poems and I'll just pause between poems. There should be numbers doing up in back of me. One, two, three. I'll just pause. "The Speed of Darkness."	Rukeyser speaking
40:31	46:11	Reads "The Speed of Darkness"	Rukeyser reading
40:49	40:52	Space 1	Spaces
41:09	41:12	Space 2	Spaces
41:35	41:39	Space 3	Spaces
42:33	42:35	Space 4	Spaces
42:59	43:03	Space 5	Spaces
43:18	43:21	Space 6	Spaces
43:39	43:42	Space 7	Spaces
43:53	43:57	Space 8	Spaces
44:05	44:08	Space 9	Spaces
44:35	44:39	Space 10	Spaces
44:54	44:58	Space 11	Spaces
45:39	45:42	Space 12	Spaces
46:08	46:10	Space 13	Spaces
46:12	46:37	Audience applaudes	Audience
46:39	46:51	We wish to announce that the next reading will be by F.R. Scott, and that will be on February 14th--at the same time-- in the theater in the basement of this building. Thank you.	Introducer
46:52	51:25	Audience speaks quietly as recording continues	Audience
