Time		Annotation	Layer
4:07		Barely mumbling ‘Now it's time for me now it's time for what I want’, the pirate who had just been fucked bent over the child tightly bound in ropes, already raped. His hands reached for her breasts. While sperm which resembled mutilated oysters dropped out of his asshole, he touched the breasts.	Acker reading
4:27		Laugh	Audience
4:29		The three pirates turned away from the child. They went back to their work of gnawing and gorging themselves on Nestle’s almonds, Cadbury chocolate flakes, barbecue tortilla chips, green benas, toffeed vanilla, Lucozade, and Mars bars. They guzzled down can after can of swill.	Acker reading
4:43		Laughs	Audience
4:49		The Captain, me, walked out on deck. ‘What a group of pigs! Didn't all of your teachers in all the nice boarding schools you went to, which you never talk about, didn't they teach you about nutrition?’	Acker reading
4:49		Cough	Audience
4:56		Laughs	Audience
5:03		Murmur	Audience
5:08		‘This ship isn't a public school,’ Fatty blurted out through showers a Coca-Cola mixed with beer. ‘This shit is a pirate ship. And this is a philanthropic association.’	Acker reading
5:08		Laughs	Audience
5:19		Laughs, murmur	Audience
5:20		‘Sure,’ Captain Thivai, me, sneered. ‘I'm a sweet socialist government so I'm paying you to sit on your asses in the sun and get suntanned just that so that you are so happy you will not revolt against my economic fascism.’	Acker reading
5:39		Fatty dared to oppose me. ‘No way. This ship is our philanthropic association, our place of safety, our baby crib. Since they have enough dough to be our charity donors, all the people outside it, all the people outside us here, are our enemies.	Acker reading
6:00		‘Since we live on this ship, we're orphans. Orphans are dumb and stupid.’ Fatty was epileptic. ‘Since we're stupid, we don't know how to conduct ourselves in decent monied society, and we kill people for no reason.’	Acker reading
6:07		Laughs	Audience
6:13		‘Historically, weren't some of the most violent political murderers,’ the punk added, ‘aristocrats?’	Acker reading
6:20		‘Do all of you have parents?’ I asked my crew, for I was astounded. ‘Do you generally come from good backgrounds?’	Acker reading
6:30		‘How can I answer a generality? So how can I answer any question?’ Fatty obviously came from a superior background.	Acker reading
6:39		‘Do you,’ pointing my finger at the youngest therefore the weakest of the lot, ‘do you, personally, have parents?’	Acker reading
6:48		‘I don't have parents.’ ‘Me neither.’ ‘Him also?’ ‘No one.’ ‘None.’ ‘No one has nothing anymore.’	Acker reading
6:59		‘Then who did you come out of and where'd you come from?’ I wasn't gonna be fooled by the scum.	Acker reading
7:03		Murmur	Audience
7:06		‘That's our business. Each one of us.’	Acker reading
7:08		The English pirate answered, ‘We're not used to discussing our private affairs. It's not your business on whom we piss.’	Acker reading
7:15		I had to agree with the English, for it was necessary for me to trust my crew about whom I knew nothing except that they were not the scum of the earth, they were the scum of the now scum-filled seas.	Acker reading
7:28		And the next day, when the ship stopped near a shore in which a bordello was stretching out its claws, I jumped ship. A cock cried on the top of a hill. Rooster's red crest jumped through the weighted-down grasses. A guard and his heavy gun descended. I hid from him.	Acker reading
7:51		Where there were buildings huge trees had showered dew onto the red roofs. My fear dried up my throat. My hands lay over my stomach for protection. The sun… Fear disintegrated my throat… Stunned…	Acker reading
8:14		I woke. I was no longer free. Words woke me. ‘It's me, Xaintrilles. This morning the General Staff will interrogate you. Good luck’n all that. I'm leaving for Ait Saada.’	Acker reading
8:30		I didn't speak.	Acker reading
8:32		Xaintrilles squatted down on his haunches and looked at the bars. He saw a young man spread flat on the floor, still, his knees apart, a sackcloth jacket only over part of his stomach.	Acker reading
8:49		‘Thivai, aren't you listening to me? Maybe you can't hear anymore?’	Acker reading
8:55		I recognized despair enough to open my senses only inside me. Lice gnawed my cropped head. Xaintrilles carried this body inside, chafed hands and knees.	Acker reading
9:11		In the deep river firemen and convoy soldiers washed themselves. Mud scintillated around the decaying bath-house.	Acker reading
9:19		I lovingly rubbed my skull, the light wounds the hair chopper had made. ‘Shave me. To the flesh,’ I said.	Acker reading
9:29		The gentle hair-cutter, as soon as his officer had left, positioned the straight razor at the front of the forehead.	Acker reading
9:36		‘Thivai, I can't. There's not enough left.’	Acker reading
9:40		Upon returning, the officer looked at the prisoner and ordered the barber to shave him totally.	Acker reading
9:46		Cough	Audience
9:47		I smiled, I lowered my head, the barber trembled, my flesh peeled off my head and the tip of my ear, the officer by his red leather boot crushed my shoeless foot; the cutter wiped his fingers on the linen knotted around my neck. Then he went back to his cutting. My hair dropped off like flies.	Acker Reading
10:12		As they were cut, they brushed by the ears, the holes of the nostrils, caught in the eyebrows, mommy, I only went the hairdresser to cut off a lock of hair, my matchstick, mommy's sitting in the armchair, mommy's holding my knee, mommy's picking up a magazine, mommy puts it on her knees. Véronique’s behind the mirror.	Acker reading
10:36		Véronique stands upright. Then the hairdresser pushes her down while Véronique makes signs which the mirror reflects. The cut hairs brush past the beehive I've hidden in my shirt; mommy leaves, forgetting her purse. She walks through the rain along the river. Am I dreaming? The haircutter looks around him, he puts his hand on the hot flannel of my pants, his hand climbs up my thigh, I look at Véronique.	Acker reading
10:57		Soft shout	Audience
11:00		It's she who's raping me it's she who's touching me, mommy's screaming out loud and crying in the rain. Dock workers drag barbed wire sheets through the slush. Mommy bites her soaked scarf. The haircutter's hand sinks between my knees; again I push it away; his other hand travels down my stomach; my knees hit the marble washbasin which nevertheless maintains its balance; the haircutter's hand rest openly on my obviously palpitating stomach. The hairdresser looks behind him.	Acker reading
11:45		Under the door, mommy's drying her shoes. She enters the room. Night fell. Her wet hands hold my small ones, I fall into the armchair; mommy pays the hairdresser; he presses me against the door.	Acker reading
11:45		Murmur	Audience
12:04		Mommy drags me out, down black streets until we reach the river. The dock workers’re trying to warn themselves by standing as close as possible to a fire made out of charcoal dust. Mommy, holding me in her arms, jumps into the thicker mist. She mounts the jetty and runs over the rocks. Snow is covering the rocks. I try to writhe myself away, but she's pressing me into her hips.	Acker reading
12:22		Throbbing sound	Environment
12:33		So I bite her hand, while a tug-boat whose bright port dead-lights are throwing glimmers on a black oily sea, moves down the estuary; mommy throws herself,…, I bite her hand, as her arms let go, I fall down the rocks, rolling down the rocks, mommy falls into the sea my mother's suicide, the foam finds and recovers her, I twist my body round towards the rocks. There a wave carries my mother's head. Her palms slide along a sleek, slightly glittering rock. The tug-boat bears the other way, then stops; a sailor runs on to a bridge; he unfastens a yawl, runs back on board; they row to the jetty.	Acker reading
12:34		Laugh	Audience
12:47		Subtle knocking sound	Environment
12:54		Laugh	Audience
13:20		Beneath the clouds the stars are shining. My head's bathing in a small abandoned puddle. The sailor jumps on to the jetty, lifts me in his strong arms, up, and strokes my forehead and left cheek. The other sailors shipped their oars and, lifting up my mother's body, bear it over a huge flat rock. The sailor puts me to bed. From the tip of the tent’s main peg a lantern was barely balancing. My blood flowed into my hands. The sailors telephoned, held my hands in theirs, covered my face. They tore the khaki posters and bills open…	Acker reading
13:44		Metallic sound	Environment
14:08		After the jeeps and lorries had left, wounded on the forehead now by the rising sun, I placed my sackcloth jacket over my face. The rest was naked. The flies in the toilet and the wine-press the soldiers had for their own convenience were gnawing at the barrier wires’ edges; they darted forward, leapt over the curly locks, so I trembled, opened my thighs. The morning breeze cooled down the thighs and the sexual mass. The flies stole…	Acker reading
14:08		Murmur	Audience
14:11		Squeaking sound	Environment
14:48		Again Véronique tosses her hairs behind her; I take hold of this hair and throw my face into it; Véronique turns around and places my head in her hands:	Acker reading
14:52		Cough	Audience
15:03		Xaintrilles wet-kissed me in the garden.’	Acker reading
15:07		I throw my arms around her waist, then I eat at her mouth; revolving her thighs rub and press themselves against my stomach; though she's pushing back my arms, I kiss her eyelids; her hand rubs my back, my waist; her eyelids taste of mud; the sweat wets my opened shirt.	Acker reading
15:28		As soon as she laughs, I turn her over under me on the armchair. The wind bangs the books on the table shut. My hand burrows like a mole in her clothes. Over a teat. Trembles. Under my hand the teat is hot. I stroke the other teat. With the second hand I unhook the dress. And tongue the teat’s tip. ‘And me,’ she pants. She crushes my mouth by her breast. Wide open the windows look over the park. Xaintrilles walks through the thick grass, his gun erect.	Acker reading
16:04		‘Don't be so hard,’ he tells me. ‘You're breaking my legs.’ I crawl over him. Sirens stain the distance.	Acker reading
16:16		Today there are no more pirates therefore I can't be a pirate. I know I can't be a pirate because there are no more pirate ships.	Acker reading
16:26		In 1574 there were pirate ships.	Acker reading
16:29		By that time the total halt of legal, or national, European wars forced the French and German soldiers either to disappear or to become illegal - pirates. Being free of both nationalistic and religious concerns and restrictions, privateering’s only limitation was economic. Piracy was the most anarchic form of private enterprise.	Acker reading
16:55		Thus, at that time, in one sense, the modern economic world began. In anarchic times, when anyone could become any one and any thing, corsairs, free enterprisers roamed everywhere more and more…	Acker reading
17:00		Murmur	Audience
17:11		Click	Environment
17:11		Sneeze	Audience
17:12		Murderers killed murderers…	Acker reading
17:16		Human beings are good by nature. This is the credo of those who are liberals, even pacifists, during times of national and nationalistic wars.	Acker reading
17:26		Cough	Audience
17:28		But in 1574, when regular, regulated war, that is, national war, which the nations involved had maintained at huge expense only via authoritarian expansion, ceased: the sailors the soldiers the poor people the disenfranchised the sexually different waged illegal wars on land and sea.	Acker reading
17:31		Cough	Audience
17:57		War, if not the begetter of all things, certainly the hope of all begetting and pleasures. For the rich and certainly for the poor. War, you mirror of our sexuality.	Acker reading
18:12		I who would have and would be a pirate: I cannot. I who live in my mind which is my imagination as everything - wanderer adventurer fighter Commander-in-Chief of the Allied Forces - I am nothing in these times.	Acker reading
18:22		Laugh	Audience
18:36		"Thank you"	Acker speaking
18:36		Applause	Audience
